Date,Point,Weather,WaterTemp,Quantity,Comment,Tide,Time
2021-05-04,honmoku,晴,16.5,412.0,,小潮,2021-05-04 00:00:00
2021-05-04,isogo,晴,16.5,363.0,終日南の風の吹く(横浜地方に強風注意報)晴れの釣り日和でした。明日も風の吹く予報です、当施設では風速15ｍ以上の風を継続して観測しますと釣り中止・閉場となります。釣果は南桟橋で、アジ、イワシ、カサゴ、カワハギ、クロダイ、コノシロ、ハゼ、フグ、フッコ、ベラ、ボラ、メジナ、メバルが中央で、コノシロが東桟橋では、アジ、ウミタナゴ、カサゴ、カレイ、カワハギ、クロダイ、コノシロ、シロギス、ハゼ、フグ、ベラ、メゴチ、メジナ、メバルが釣れました。,小潮,2021-05-04 18:25:00
2021-05-05,daikoku,曇,18.0,292.0,ゴールデンウィークも今日で最終日の方も多く、風も強くなってきたため午後にはお帰りの方が増え桟橋もガラガラになってしまいました。釣果は依然カタクチイワシと良型のコノシロが好調で、お子様も喜んでお帰りになられました。今年は良型のサヨリが早いうちに顔を見せ始めました。時折40cm近いサヨリも釣れています。専門に狙ってみてはいかがですか。明日6日は予約キャンセルが出て若干名の空が出ています。定員200名までご入場できます。ゴールデンウィーク中は早い時間に「釣り方規制」になることが予想されます。ご了承下さい。,小潮,2021-05-05 19:30:00
2021-05-05,honmoku,曇,16.5,302.0,,小潮,2021-05-05 00:00:00
2021-05-05,isogo,曇,17.5,250.0,強風注意報は発令されていましたが思いの他、南西の風が強い釣りには厳しい一日となりました。釣果も天候の影響を受け、厳しいものとなりました。釣果は南桟橋で、アジ、イワシ、ウミタナゴ、カサゴ、コノシロ、フグ、メゴチ、メジナ、メバルが中央で、カサゴが東桟橋では、イワシ、ウミタナゴ、カサゴ、コノシロ、ソイ、ハゼ、フグ、メバルが釣れました。,小潮,2021-05-05 18:30:00
2021-05-06,daikoku,雨,17.5,233.0,予報よりも天候の回復が遅れましたが、昼過ぎからは暑さを感じるほどに気温が上がりました。風もなく穏やかな釣り日和となりました。釣果ですが、カタクチイワシとのコノシロが依然好調で数釣りが出来ていました。水面から底までカタクチイワシの群れがいるため、アジが餌に食い付けないようで夕マズメに少し釣れた程度になりました。泳がせ釣りのスズキ、ヒラメは本日も釣れています。明日は雲が多いものの過ごしやすい気温となりそうです。ただ、夕方に雨の予報もありますので、念の為に雨具(カッパ)の用意があると安心です。明日も予約日となっておりますが、キャンセル等の空きがありますので予約なしの方も開場時に入場できる可能性があります。,長潮,2021-05-06 19:30:00
2021-05-06,honmoku,雨,16.5,177.0,,長潮,2021-05-06 00:00:00
2021-05-06,isogo,雨,17.0,134.0,本日も磯子海づり施設に御来場頂き、誠にありがとうございます。開場時に降っていた雨も早い時間に上がり、曇りから晴れに変わるといった一日でした。釣果としてはシマダイも上がり、またカワハギ、カレイも顔を見せています。本日の釣果は南桟橋で、アジ、イワシ、ウミタナゴ、カサゴ、カレイ、カワハギ、クロダイ、コノシロ、シロギス、ハゼ、フグ、メジナ、メバルが中央で、タコが東桟橋ではウミタナゴ、カサゴ、クロダイ、コノシロ、シマダイ、タコ、フグ、メジナ、メバルが釣れました。,長潮,2021-05-06 18:30:00
2021-05-07,daikoku,曇,18.0,211.0,風は穏やかでしたが、空は朝から厚い雲に覆われて、午後からは小雨が降り出しました。適度な濁りが入りアジの釣果が上向きで、まとまって釣れていました。サヨリが回遊して来た時合いで、浅いタナを狙うと釣果に結びつきます。カタクチイワシとコノシロは、安定して釣れ続けています。ゴールデンウイーク前半に比べて、シリヤケイカの反応も良くなってきました。明日は天気が回復して快晴になりますが、午後からは南寄りの風が強まりそうです。,若潮,2021-05-07 19:25:00
2021-05-07,honmoku,曇,17.5,100.0,,若潮,2021-05-07 00:00:00
2021-05-07,isogo,曇,17.5,118.0,本日も磯子海づり施設に御来場頂き、誠にありがとうございます。いつ雨が降るかわからないような曇り空の一日でしたが、風も弱く釣り日和となりました。午後3時頃からは小雨が降りだしましたが、釣りには影響の無い程度で良かったです。釣果としては、昨日に続いてタコ、クロダイ等が好調でした。南桟橋で、アジ、タコ、ウミタナゴ、カサゴ、クロダイ、コノシロ、メジナ、メバルが中央で、アジ、イシモチ、カサゴ、メバルが東桟橋では、アジ、カサゴ、クロダイ、シロギス、シマダイ、タコ、メジナ、メバルが釣れました。,若潮,2021-05-07 18:30:00
2021-05-08,daikoku,晴れのち曇り,18.0,366.0,午後から曇りとなりましたが、最高気温24℃となり釣り日和となりました。釣果は、本日もカタクチイワシ・コノシロが好調で数を伸ばしました。最近サヨリが、浅いタナで釣れています。その他では、エギのシリヤケイカ、餌釣りで夕方からカサゴが釣れていました。明日は一日晴れとなっていますが、南西の風がやや強く吹く予報が出ていますので、一枚上着があった方がいいかもしれません。,中潮,2021-05-08 19:42:00
2021-05-08,isogo,晴れのち曇り,18.0,292.0,午後からは曇り空になりましたが、暑いくらいの陽気で風もあまり強くならず、まずまずの釣り日和でした。釣果は南桟橋でアジ、イワシ、カサゴ、クロダイ、コノシロ、サバ、シロギス、メジナ、メバル等が中央でアナゴ、イシモチ、イワシ、コノシロ等が東桟橋ではアジ、アナゴ、ウミタナゴ、カサゴ、コノシロ、マゴチ、メジナ、メバル等が釣れました。,中潮,2021-05-08 18:25:00
